aid	chapter	verse	ayah	jmlh
4553	12	8	إذْ قالُوا ليُوسُفُ وأخُوهُ أحبُ إلى أبينا منا ونحْنُ عُصْبة إن أبانا لفى ضللٍ مُبينٍ	إذْ قالُوا ليُوسُفُ وأخُوهُ أحبُ إلى أبينا منا ونحْنُ عُصْبة
4554	12	8	إذْ قالُوا ليُوسُفُ وأخُوهُ أحبُ إلى أبينا منا ونحْنُ عُصْبة إن أبانا لفى ضللٍ مُبينٍ	إن أبانا لفى ضللٍ مُبينٍ
4555	12	9	اقْتُلُوا يُوسُف أو اطْرحُوهُ أرْضًا يخْلُ لكُمْ وجْهُ أبيكُمْ وتكُونُوا من بعْده قوْمًا صلحين	اقْتُلُوا يُوسُف أو اطْرحُوهُ أرْضًا يخْلُ لكُمْ وجْهُ أبيكُمْ وتكُونُوا من بعْده قوْمًا صلحين
4556	12	10	قال قائل منْهُمْ لا تقْتُلُوا يُوسُف وألْقُوهُ فى غيبت الْجُب يلْتقطْهُ بعْضُ السيارة إن كُنتُمْ فعلين	قال قائل منْهُمْ لا تقْتُلُوا يُوسُف وألْقُوهُ فى غيبت الْجُب يلْتقطْهُ بعْضُ السيارة إن كُنتُمْ فعلين
4557	12	11	قالُوا يأبانا ما لك لا تأْمنا على يُوسُف وإنا لهُ لنصحُون	قالُوا يأبانا ما لك لا تأْمنا على يُوسُف
4558	12	11	قالُوا يأبانا ما لك لا تأْمنا على يُوسُف وإنا لهُ لنصحُون	وإنا لهُ لنصحُون
4559	12	12	أرْسلْهُ معنا غدًا يرْتعْ ويلْعبْ وإنا لهُ لحفظُون	أرْسلْهُ معنا غدًا يرْتعْ ويلْعبْ
4560	12	12	أرْسلْهُ معنا غدًا يرْتعْ ويلْعبْ وإنا لهُ لحفظُون	وإنا لهُ لحفظُون
4561	12	13	قال إنى ليحْزُنُنى أن تذْهبُوا به وأخافُ أن يأْكُلهُ الذئْبُ وأنتُمْ عنْهُ غفلُون	قال إنى ليحْزُنُنى أن تذْهبُوا به وأخافُ أن يأْكُلهُ الذئْبُ وأنتُمْ عنْهُ غفلُون
4562	12	14	قالُوا لئنْ أكلهُ الذئْبُ ونحْنُ عُصْبة إنا إذًا لخسرُون	قالُوا لئنْ أكلهُ الذئْبُ ونحْنُ عُصْبة إنا إذًا لخسرُون
4563	12	15	فلما ذهبُوا به وأجْمعُوا أن يجْعلُوهُ فى غيبت الْجُب وأوْحيْنا إليْه لتُنبئنهُم بأمْرهمْ هذا وهُمْ لا يشْعُرُون	فلما ذهبُوا به وأجْمعُوا أن يجْعلُوهُ فى غيبت الْجُب
4564	12	15	فلما ذهبُوا به وأجْمعُوا أن يجْعلُوهُ فى غيبت الْجُب وأوْحيْنا إليْه لتُنبئنهُم بأمْرهمْ هذا وهُمْ لا يشْعُرُون	وأوْحيْنا إليْه
4565	12	15	فلما ذهبُوا به وأجْمعُوا أن يجْعلُوهُ فى غيبت الْجُب وأوْحيْنا إليْه لتُنبئنهُم بأمْرهمْ هذا وهُمْ لا يشْعُرُون	لتُنبئنهُم بأمْرهمْ هذا وهُمْ لا يشْعُرُون
4566	12	16	وجاءُو أباهُمْ عشاءً يبْكُون	وجاءُو أباهُمْ عشاءً يبْكُون
4567	12	17	قالُوا يأبانا إنا ذهبْنا نسْتبقُ وتركْنا يُوسُف عند متعنا فأكلهُ الذئْبُ وما أنت بمُؤْمنٍ لنا ولوْ كُنا صدقين	قالُوا يأبانا إنا ذهبْنا نسْتبقُ وتركْنا يُوسُف عند متعنا
4568	12	17	قالُوا يأبانا إنا ذهبْنا نسْتبقُ وتركْنا يُوسُف عند متعنا فأكلهُ الذئْبُ وما أنت بمُؤْمنٍ لنا ولوْ كُنا صدقين	فأكلهُ الذئْبُ
4569	12	17	قالُوا يأبانا إنا ذهبْنا نسْتبقُ وتركْنا يُوسُف عند متعنا فأكلهُ الذئْبُ وما أنت بمُؤْمنٍ لنا ولوْ كُنا صدقين	وما أنت بمُؤْمنٍ لنا ولوْ كُنا صدقين
4570	12	18	وجاءُو على قميصه بدمٍ كذبٍ قال بلْ سولتْ لكُمْ أنفُسُكُمْ أمْرًا فصبْر جميل واللهُ الْمُسْتعانُ على ما تصفُون	وجاءُو على قميصه بدمٍ كذبٍ
4571	12	18	وجاءُو على قميصه بدمٍ كذبٍ قال بلْ سولتْ لكُمْ أنفُسُكُمْ أمْرًا فصبْر جميل واللهُ الْمُسْتعانُ على ما تصفُون	قال بلْ سولتْ لكُمْ أنفُسُكُمْ أمْرًا فصبْر جميل واللهُ الْمُسْتعانُ على ما تصفُون
4572	12	19	وجاءتْ سيارة فأرْسلُوا واردهُمْ فأدْلى دلْوهُ قال يبُشْرى هذا غُلم وأسرُوهُ بضعةً واللهُ عليم بما يعْملُون	وجاءتْ سيارة
4573	12	19	وجاءتْ سيارة فأرْسلُوا واردهُمْ فأدْلى دلْوهُ قال يبُشْرى هذا غُلم وأسرُوهُ بضعةً واللهُ عليم بما يعْملُون	فأرْسلُوا واردهُمْ
4574	12	19	وجاءتْ سيارة فأرْسلُوا واردهُمْ فأدْلى دلْوهُ قال يبُشْرى هذا غُلم وأسرُوهُ بضعةً واللهُ عليم بما يعْملُون	فأدْلى دلْوهُ
4575	12	19	وجاءتْ سيارة فأرْسلُوا واردهُمْ فأدْلى دلْوهُ قال يبُشْرى هذا غُلم وأسرُوهُ بضعةً واللهُ عليم بما يعْملُون	قال يبُشْرى هذا غُلم
4576	12	19	وجاءتْ سيارة فأرْسلُوا واردهُمْ فأدْلى دلْوهُ قال يبُشْرى هذا غُلم وأسرُوهُ بضعةً واللهُ عليم بما يعْملُون	وأسرُوهُ بضعةً
4577	12	19	وجاءتْ سيارة فأرْسلُوا واردهُمْ فأدْلى دلْوهُ قال يبُشْرى هذا غُلم وأسرُوهُ بضعةً واللهُ عليم بما يعْملُون	واللهُ عليم بما يعْملُون
4578	12	20	وشروْهُ بثمنٍ بخْسٍ درهم معْدُودةٍ وكانُوا فيه من الزهدين	وشروْهُ بثمنٍ بخْسٍ درهم معْدُودةٍ وكانُوا فيه من الزهدين
4579	12	21	وقال الذى اشْترىهُ من مصْر لامْرأته أكْرمى مثْوىهُ عسى أن ينفعنا أوْ نتخذهُ ولدًا وكذلك مكنا ليُوسُف فى الْأرْض ولنُعلمهُ من تأْويل الْأحاديث واللهُ غالب على أمْره ولكن أكْثر الناس لا يعْلمُون	وقال الذى اشْترىهُ من مصْر لامْرأته أكْرمى مثْوىهُ عسى أن ينفعنا أوْ نتخذهُ ولدًا
4580	12	21	وقال الذى اشْترىهُ من مصْر لامْرأته أكْرمى مثْوىهُ عسى أن ينفعنا أوْ نتخذهُ ولدًا وكذلك مكنا ليُوسُف فى الْأرْض ولنُعلمهُ من تأْويل الْأحاديث واللهُ غالب على أمْره ولكن أكْثر الناس لا يعْلمُون	وكذلك مكنا ليُوسُف فى الْأرْض ولنُعلمهُ من تأْويل الْأحاديث
4581	12	21	وقال الذى اشْترىهُ من مصْر لامْرأته أكْرمى مثْوىهُ عسى أن ينفعنا أوْ نتخذهُ ولدًا وكذلك مكنا ليُوسُف فى الْأرْض ولنُعلمهُ من تأْويل الْأحاديث واللهُ غالب على أمْره ولكن أكْثر الناس لا يعْلمُون	واللهُ غالب على أمْره
4582	12	21	وقال الذى اشْترىهُ من مصْر لامْرأته أكْرمى مثْوىهُ عسى أن ينفعنا أوْ نتخذهُ ولدًا وكذلك مكنا ليُوسُف فى الْأرْض ولنُعلمهُ من تأْويل الْأحاديث واللهُ غالب على أمْره ولكن أكْثر الناس لا يعْلمُون	ولكن أكْثر الناس لا يعْلمُون
4583	12	22	ولما بلغ أشُدهُ ءاتيْنهُ حُكْمًا وعلْمًا وكذلك نجْزى الْمُحْسنين	ولما بلغ أشُدهُ ءاتيْنهُ حُكْمًا وعلْمًا
4584	12	22	ولما بلغ أشُدهُ ءاتيْنهُ حُكْمًا وعلْمًا وكذلك نجْزى الْمُحْسنين	وكذلك
4585	12	22	ولما بلغ أشُدهُ ءاتيْنهُ حُكْمًا وعلْمًا وكذلك نجْزى الْمُحْسنين	نجْزى الْمُحْسنين
4586	12	23	ورودتْهُ التى هُو فى بيْتها عن نفْسه وغلقت الْأبْوب وقالتْ هيْت لك قال معاذ الله إنهُ ربى أحْسن مثْواى إنهُ لا يُفْلحُ الظلمُون	ورودتْهُ التى هُو فى بيْتها عن نفْسه وغلقت الْأبْوب وقالتْ هيْت لك
4587	12	23	ورودتْهُ التى هُو فى بيْتها عن نفْسه وغلقت الْأبْوب وقالتْ هيْت لك قال معاذ الله إنهُ ربى أحْسن مثْواى إنهُ لا يُفْلحُ الظلمُون	قال معاذ الله إنهُ ربى أحْسن مثْواى إنهُ لا يُفْلحُ الظلمُون
4588	12	24	ولقدْ همتْ به وهم بها لوْلا أن رءا بُرْهن ربه كذلك لنصْرف عنْهُ السُوء والْفحْشاء إنهُ منْ عبادنا الْمُخْلصين	ولقدْ همتْ به
4589	12	24	ولقدْ همتْ به وهم بها لوْلا أن رءا بُرْهن ربه كذلك لنصْرف عنْهُ السُوء والْفحْشاء إنهُ منْ عبادنا الْمُخْلصين	وهم بها
4590	12	24	ولقدْ همتْ به وهم بها لوْلا أن رءا بُرْهن ربه كذلك لنصْرف عنْهُ السُوء والْفحْشاء إنهُ منْ عبادنا الْمُخْلصين	لوْلا أن رءا بُرْهن ربه
4591	12	24	ولقدْ همتْ به وهم بها لوْلا أن رءا بُرْهن ربه كذلك لنصْرف عنْهُ السُوء والْفحْشاء إنهُ منْ عبادنا الْمُخْلصين	كذلك لنصْرف عنْهُ السُوء والْفحْشاء
4592	12	24	ولقدْ همتْ به وهم بها لوْلا أن رءا بُرْهن ربه كذلك لنصْرف عنْهُ السُوء والْفحْشاء إنهُ منْ عبادنا الْمُخْلصين	إنهُ منْ عبادنا الْمُخْلصين
4593	12	25	واسْتبقا الْباب وقدتْ قميصهُ من دُبُرٍ وألْفيا سيدها لدا الْباب قالتْ ما جزاءُ منْ أراد بأهْلك سُوءًا إلا أن يُسْجن أوْ عذاب أليم	واسْتبقا الْباب وقدتْ قميصهُ من دُبُرٍ وألْفيا سيدها لدا الْباب
4594	12	25	واسْتبقا الْباب وقدتْ قميصهُ من دُبُرٍ وألْفيا سيدها لدا الْباب قالتْ ما جزاءُ منْ أراد بأهْلك سُوءًا إلا أن يُسْجن أوْ عذاب أليم	قالتْ ما جزاءُ منْ أراد بأهْلك سُوءًا إلا أن يُسْجن أوْ عذاب أليم
4595	12	26	قال هى رودتْنى عن نفْسى وشهد شاهد منْ أهْلها إن كان قميصُهُ قُد من قُبُلٍ فصدقتْ وهُو من الْكذبين	قال هى رودتْنى عن نفْسى
4596	12	26	قال هى رودتْنى عن نفْسى وشهد شاهد منْ أهْلها إن كان قميصُهُ قُد من قُبُلٍ فصدقتْ وهُو من الْكذبين	وشهد شاهد منْ أهْلها
4597	12	26	قال هى رودتْنى عن نفْسى وشهد شاهد منْ أهْلها إن كان قميصُهُ قُد من قُبُلٍ فصدقتْ وهُو من الْكذبين	إن كان قميصُهُ قُد من قُبُلٍ فصدقتْ وهُو من الْكذبين وإن كان قميصُهُ قُد من دُبُرٍ فكذبتْ وهُو من الصدقين
4597	12	27	وإن كان قميصُهُ قُد من دُبُرٍ فكذبتْ وهُو من الصدقين	إن كان قميصُهُ قُد من قُبُلٍ فصدقتْ وهُو من الْكذبين وإن كان قميصُهُ قُد من دُبُرٍ فكذبتْ وهُو من الصدقين
4598	12	28	فلما رءا قميصهُ قُد من دُبُرٍ قال إنهُ من كيْدكُن إن كيْدكُن عظيم	فلما رءا قميصهُ قُد من دُبُرٍ قال إنهُ من كيْدكُن إن كيْدكُن عظيم
4599	12	29	يُوسُفُ أعْرضْ عنْ هذا واسْتغْفرى لذنبك إنك كُنت من الْخاطـين	يُوسُفُ
4600	12	29	يُوسُفُ أعْرضْ عنْ هذا واسْتغْفرى لذنبك إنك كُنت من الْخاطـين	أعْرضْ عنْ هذا
4601	12	29	يُوسُفُ أعْرضْ عنْ هذا واسْتغْفرى لذنبك إنك كُنت من الْخاطـين	واسْتغْفرى لذنبك
4602	12	29	يُوسُفُ أعْرضْ عنْ هذا واسْتغْفرى لذنبك إنك كُنت من الْخاطـين	إنك كُنت من الْخاطـين
4603	12	30	وقال نسْوة فى الْمدينة امْرأتُ الْعزيز تُرودُ فتىها عن نفْسه قدْ شغفها حُبًا إنا لنرىها فى ضللٍ مُبينٍ	وقال نسْوة فى الْمدينة امْرأتُ الْعزيز تُرودُ فتىها عن نفْسه قدْ شغفها حُبًا إنا لنرىها فى ضللٍ مُبينٍ
4604	12	31	فلما سمعتْ بمكْرهن أرْسلتْ إليْهن وأعْتدتْ لهُن مُتكـًا وءاتتْ كُل وحدةٍ منْهُن سكينًا وقالت اخْرُجْ عليْهن فلما رأيْنهُ أكْبرْنهُ وقطعْن أيْديهُن وقُلْن حش لله ما هذا بشرًا إنْ هذا إلا ملك كريم	فلما سمعتْ بمكْرهن أرْسلتْ إليْهن وأعْتدتْ لهُن مُتكـًا وءاتتْ كُل وحدةٍ منْهُن سكينًا
4605	12	31	فلما سمعتْ بمكْرهن أرْسلتْ إليْهن وأعْتدتْ لهُن مُتكـًا وءاتتْ كُل وحدةٍ منْهُن سكينًا وقالت اخْرُجْ عليْهن فلما رأيْنهُ أكْبرْنهُ وقطعْن أيْديهُن وقُلْن حش لله ما هذا بشرًا إنْ هذا إلا ملك كريم	وقالت اخْرُجْ عليْهن
4606	12	31	فلما سمعتْ بمكْرهن أرْسلتْ إليْهن وأعْتدتْ لهُن مُتكـًا وءاتتْ كُل وحدةٍ منْهُن سكينًا وقالت اخْرُجْ عليْهن فلما رأيْنهُ أكْبرْنهُ وقطعْن أيْديهُن وقُلْن حش لله ما هذا بشرًا إنْ هذا إلا ملك كريم	فلما رأيْنهُ أكْبرْنهُ وقطعْن أيْديهُن وقُلْن حش لله ما هذا بشرًا إنْ هذا إلا ملك كريم
4607	12	32	قالتْ فذلكُن الذى لُمْتُننى فيه ولقدْ رودتُهُ عن نفْسه فاسْتعْصم ولئن لمْ يفْعلْ ما ءامُرُهُ ليُسْجنن وليكُونًا من الصغرين	قالتْ فذلكُن الذى لُمْتُننى فيه ولقدْ رودتُهُ عن نفْسه فاسْتعْصم ولئن لمْ يفْعلْ ما ءامُرُهُ ليُسْجنن وليكُونًا من الصغرين
4608	12	33	قال ربـ السجْنُ أحبُ إلىـ مما يدْعُوننى إليْه وإلا تصْرفْ عنى كيْدهُن أصْبُ إليْهن وأكُن من الْجهلين	قال ربـ السجْنُ أحبُ إلىـ مما يدْعُوننى إليْه وإلا تصْرفْ عنى كيْدهُن أصْبُ إليْهن وأكُن من الْجهلين
4609	12	34	فاسْتجاب لهُ ربُهُ فصرف عنْهُ كيْدهُن إنهُ هُو السميعُ الْعليمُ	فاسْتجاب لهُ ربُهُ
4610	12	34	فاسْتجاب لهُ ربُهُ فصرف عنْهُ كيْدهُن إنهُ هُو السميعُ الْعليمُ	فصرف عنْهُ كيْدهُن
4611	12	34	فاسْتجاب لهُ ربُهُ فصرف عنْهُ كيْدهُن إنهُ هُو السميعُ الْعليمُ	إنهُ هُو السميعُ الْعليمُ
4612	12	35	ثُم بدا لهُم من بعْد ما رأوُا الْءايت ليسْجُنُنهُ حتى حينٍ	ثُم بدا لهُم من بعْد ما رأوُا الْءايت
4613	12	35	ثُم بدا لهُم من بعْد ما رأوُا الْءايت ليسْجُنُنهُ حتى حينٍ	ليسْجُنُنهُ حتى حينٍ
4614	12	36	ودخل معهُ السجْن فتيان قال أحدُهُما إنى أرىنى أعْصرُ خمْرًا وقال الْءاخرُ إنى أرىنى أحْملُ فوْق رأْسى خُبْزًا تأْكُلُ الطيْرُ منْهُ نبئْنا بتأْويله إنا نرىك من الْمُحْسنين	ودخل معهُ السجْن فتيان
4615	12	36	ودخل معهُ السجْن فتيان قال أحدُهُما إنى أرىنى أعْصرُ خمْرًا وقال الْءاخرُ إنى أرىنى أحْملُ فوْق رأْسى خُبْزًا تأْكُلُ الطيْرُ منْهُ نبئْنا بتأْويله إنا نرىك من الْمُحْسنين	قال أحدُهُما إنى أرىنى أعْصرُ خمْرًا وقال الْءاخرُ إنى أرىنى أحْملُ فوْق رأْسى خُبْزًا تأْكُلُ الطيْرُ منْهُ
4616	12	36	ودخل معهُ السجْن فتيان قال أحدُهُما إنى أرىنى أعْصرُ خمْرًا وقال الْءاخرُ إنى أرىنى أحْملُ فوْق رأْسى خُبْزًا تأْكُلُ الطيْرُ منْهُ نبئْنا بتأْويله إنا نرىك من الْمُحْسنين	نبئْنا بتأْويله
4617	12	36	ودخل معهُ السجْن فتيان قال أحدُهُما إنى أرىنى أعْصرُ خمْرًا وقال الْءاخرُ إنى أرىنى أحْملُ فوْق رأْسى خُبْزًا تأْكُلُ الطيْرُ منْهُ نبئْنا بتأْويله إنا نرىك من الْمُحْسنين	إنا نرىك من الْمُحْسنين
4618	12	37	قال لا يأْتيكُما طعام تُرْزقانه إلا نبأْتُكُما بتأْويله قبْل أن يأْتيكُما ذلكُما مما علمنى ربى إنى تركْتُ ملة قوْمٍ لا يُؤْمنُون بالله وهُم بالْءاخرة هُمْ كفرُون	قال لا يأْتيكُما طعام تُرْزقانه إلا نبأْتُكُما بتأْويله قبْل أن يأْتيكُما ذلكُما مما علمنى ربى إنى تركْتُ ملة قوْمٍ لا يُؤْمنُون بالله وهُم بالْءاخرة هُمْ كفرُون واتبعْتُ ملة ءاباءى إبْرهيم وإسْحق ويعْقُوب ما كان لنا أن نُشْرك بالله من شىْءٍ ذلك من فضْل الله عليْنا وعلى الناس ولكن أكْثر الناس لا يشْكُرُون يصىحبى السجْن ءأرْباب مُتفرقُون خيْر أم اللهُ الْوحدُ الْقهارُ ما تعْبُدُون من دُونه إلا أسْماءً سميْتُمُوها أنتُمْ وءاباؤُكُم ما أنزل اللهُ بها من سُلْطنٍ إن الْحُكْمُ إلا لله أمر ألا تعْبُدُوا إلا إياهُ ذلك الدينُ الْقيمُ ولكن أكْثر الناس لا يعْلمُون يصىحبى السجْن أما أحدُكُما فيسْقى ربهُ خمْرًا وأما الْءاخرُ فيُصْلبُ فتأْكُلُ الطيْرُ من رأْسه قُضى الْأمْرُ الذى فيه تسْتفْتيان
4618	12	38	واتبعْتُ ملة ءاباءى إبْرهيم وإسْحق ويعْقُوب ما كان لنا أن نُشْرك بالله من شىْءٍ ذلك من فضْل الله عليْنا وعلى الناس ولكن أكْثر الناس لا يشْكُرُون	قال لا يأْتيكُما طعام تُرْزقانه إلا نبأْتُكُما بتأْويله قبْل أن يأْتيكُما ذلكُما مما علمنى ربى إنى تركْتُ ملة قوْمٍ لا يُؤْمنُون بالله وهُم بالْءاخرة هُمْ كفرُون واتبعْتُ ملة ءاباءى إبْرهيم وإسْحق ويعْقُوب ما كان لنا أن نُشْرك بالله من شىْءٍ ذلك من فضْل الله عليْنا وعلى الناس ولكن أكْثر الناس لا يشْكُرُون يصىحبى السجْن ءأرْباب مُتفرقُون خيْر أم اللهُ الْوحدُ الْقهارُ ما تعْبُدُون من دُونه إلا أسْماءً سميْتُمُوها أنتُمْ وءاباؤُكُم ما أنزل اللهُ بها من سُلْطنٍ إن الْحُكْمُ إلا لله أمر ألا تعْبُدُوا إلا إياهُ ذلك الدينُ الْقيمُ ولكن أكْثر الناس لا يعْلمُون يصىحبى السجْن أما أحدُكُما فيسْقى ربهُ خمْرًا وأما الْءاخرُ فيُصْلبُ فتأْكُلُ الطيْرُ من رأْسه قُضى الْأمْرُ الذى فيه تسْتفْتيان
4618	12	39	يصىحبى السجْن ءأرْباب مُتفرقُون خيْر أم اللهُ الْوحدُ الْقهارُ	قال لا يأْتيكُما طعام تُرْزقانه إلا نبأْتُكُما بتأْويله قبْل أن يأْتيكُما ذلكُما مما علمنى ربى إنى تركْتُ ملة قوْمٍ لا يُؤْمنُون بالله وهُم بالْءاخرة هُمْ كفرُون واتبعْتُ ملة ءاباءى إبْرهيم وإسْحق ويعْقُوب ما كان لنا أن نُشْرك بالله من شىْءٍ ذلك من فضْل الله عليْنا وعلى الناس ولكن أكْثر الناس لا يشْكُرُون يصىحبى السجْن ءأرْباب مُتفرقُون خيْر أم اللهُ الْوحدُ الْقهارُ ما تعْبُدُون من دُونه إلا أسْماءً سميْتُمُوها أنتُمْ وءاباؤُكُم ما أنزل اللهُ بها من سُلْطنٍ إن الْحُكْمُ إلا لله أمر ألا تعْبُدُوا إلا إياهُ ذلك الدينُ الْقيمُ ولكن أكْثر الناس لا يعْلمُون يصىحبى السجْن أما أحدُكُما فيسْقى ربهُ خمْرًا وأما الْءاخرُ فيُصْلبُ فتأْكُلُ الطيْرُ من رأْسه قُضى الْأمْرُ الذى فيه تسْتفْتيان
4618	12	40	ما تعْبُدُون من دُونه إلا أسْماءً سميْتُمُوها أنتُمْ وءاباؤُكُم ما أنزل اللهُ بها من سُلْطنٍ إن الْحُكْمُ إلا لله أمر ألا تعْبُدُوا إلا إياهُ ذلك الدينُ الْقيمُ ولكن أكْثر الناس لا يعْلمُون	قال لا يأْتيكُما طعام تُرْزقانه إلا نبأْتُكُما بتأْويله قبْل أن يأْتيكُما ذلكُما مما علمنى ربى إنى تركْتُ ملة قوْمٍ لا يُؤْمنُون بالله وهُم بالْءاخرة هُمْ كفرُون واتبعْتُ ملة ءاباءى إبْرهيم وإسْحق ويعْقُوب ما كان لنا أن نُشْرك بالله من شىْءٍ ذلك من فضْل الله عليْنا وعلى الناس ولكن أكْثر الناس لا يشْكُرُون يصىحبى السجْن ءأرْباب مُتفرقُون خيْر أم اللهُ الْوحدُ الْقهارُ ما تعْبُدُون من دُونه إلا أسْماءً سميْتُمُوها أنتُمْ وءاباؤُكُم ما أنزل اللهُ بها من سُلْطنٍ إن الْحُكْمُ إلا لله أمر ألا تعْبُدُوا إلا إياهُ ذلك الدينُ الْقيمُ ولكن أكْثر الناس لا يعْلمُون يصىحبى السجْن أما أحدُكُما فيسْقى ربهُ خمْرًا وأما الْءاخرُ فيُصْلبُ فتأْكُلُ الطيْرُ من رأْسه قُضى الْأمْرُ الذى فيه تسْتفْتيان
4618	12	41	يصىحبى السجْن أما أحدُكُما فيسْقى ربهُ خمْرًا وأما الْءاخرُ فيُصْلبُ فتأْكُلُ الطيْرُ من رأْسه قُضى الْأمْرُ الذى فيه تسْتفْتيان	قال لا يأْتيكُما طعام تُرْزقانه إلا نبأْتُكُما بتأْويله قبْل أن يأْتيكُما ذلكُما مما علمنى ربى إنى تركْتُ ملة قوْمٍ لا يُؤْمنُون بالله وهُم بالْءاخرة هُمْ كفرُون واتبعْتُ ملة ءاباءى إبْرهيم وإسْحق ويعْقُوب ما كان لنا أن نُشْرك بالله من شىْءٍ ذلك من فضْل الله عليْنا وعلى الناس ولكن أكْثر الناس لا يشْكُرُون يصىحبى السجْن ءأرْباب مُتفرقُون خيْر أم اللهُ الْوحدُ الْقهارُ ما تعْبُدُون من دُونه إلا أسْماءً سميْتُمُوها أنتُمْ وءاباؤُكُم ما أنزل اللهُ بها من سُلْطنٍ إن الْحُكْمُ إلا لله أمر ألا تعْبُدُوا إلا إياهُ ذلك الدينُ الْقيمُ ولكن أكْثر الناس لا يعْلمُون يصىحبى السجْن أما أحدُكُما فيسْقى ربهُ خمْرًا وأما الْءاخرُ فيُصْلبُ فتأْكُلُ الطيْرُ من رأْسه قُضى الْأمْرُ الذى فيه تسْتفْتيان
4619	12	42	وقال للذى ظن أنهُ ناجٍ منْهُما اذْكُرْنى عند ربك فأنسىهُ الشيْطنُ ذكْر ربه فلبث فى السجْن بضْع سنين	وقال للذى ظن أنهُ ناجٍ منْهُما اذْكُرْنى عند ربك
4620	12	42	وقال للذى ظن أنهُ ناجٍ منْهُما اذْكُرْنى عند ربك فأنسىهُ الشيْطنُ ذكْر ربه فلبث فى السجْن بضْع سنين	فأنسىهُ الشيْطنُ ذكْر ربه
4621	12	42	وقال للذى ظن أنهُ ناجٍ منْهُما اذْكُرْنى عند ربك فأنسىهُ الشيْطنُ ذكْر ربه فلبث فى السجْن بضْع سنين	فلبث فى السجْن بضْع سنين
4622	12	43	وقال الْملكُ إنى أرى سبْع بقرتٍ سمانٍ يأْكُلُهُن سبْع عجاف وسبْع سُنبُلتٍ خُضْرٍ وأُخر يابستٍ يأيُها الْملأُ أفْتُونى فى رُءْيى إن كُنتُمْ للرُءْيا تعْبُرُون	وقال الْملكُ إنى أرى سبْع بقرتٍ سمانٍ يأْكُلُهُن سبْع عجاف وسبْع سُنبُلتٍ خُضْرٍ وأُخر يابستٍ يأيُها الْملأُ أفْتُونى فى رُءْيى إن كُنتُمْ للرُءْيا تعْبُرُون
4623	12	44	قالُوا أضْغثُ أحْلمٍ وما نحْنُ بتأْويل الْأحْلم بعلمين	قالُوا أضْغثُ أحْلمٍ وما نحْنُ بتأْويل الْأحْلم بعلمين
4624	12	45	وقال الذى نجا منْهُما وادكر بعْد أُمةٍ أنا أُنبئُكُم بتأْويله فأرْسلُون	وقال الذى نجا منْهُما وادكر بعْد أُمةٍ أنا أُنبئُكُم بتأْويله
4625	12	45	وقال الذى نجا منْهُما وادكر بعْد أُمةٍ أنا أُنبئُكُم بتأْويله فأرْسلُون	فأرْسلُون
4626	12	46	يُوسُفُ أيُها الصديقُ أفْتنا فى سبْع بقرتٍ سمانٍ يأْكُلُهُن سبْع عجاف وسبْع سُنبُلتٍ خُضْرٍ وأُخر يابستٍ لعلى أرْجعُ إلى الناس لعلهُمْ يعْلمُون	يُوسُفُ أيُها الصديقُ أفْتنا فى سبْع بقرتٍ سمانٍ يأْكُلُهُن سبْع عجاف وسبْع سُنبُلتٍ خُضْرٍ
4627	12	46	يُوسُفُ أيُها الصديقُ أفْتنا فى سبْع بقرتٍ سمانٍ يأْكُلُهُن سبْع عجاف وسبْع سُنبُلتٍ خُضْرٍ وأُخر يابستٍ لعلى أرْجعُ إلى الناس لعلهُمْ يعْلمُون	وأُخر يابستٍ
4628	12	46	يُوسُفُ أيُها الصديقُ أفْتنا فى سبْع بقرتٍ سمانٍ يأْكُلُهُن سبْع عجاف وسبْع سُنبُلتٍ خُضْرٍ وأُخر يابستٍ لعلى أرْجعُ إلى الناس لعلهُمْ يعْلمُون	لعلى أرْجعُ إلى الناس لعلهُمْ يعْلمُون
4629	12	48	ثُم يأْتى من بعْد ذلك سبْع شداد يأْكُلْن ما قدمْتُمْ لهُن إلا قليلًا مما تُحْصنُون	قال تزْرعُون سبْع سنين دأبًا فما حصدتُمْ فذرُوهُ فى سُنبُله إلا قليلًا مما تأْكُلُون ثُم يأْتى من بعْد ذلك سبْع شداد يأْكُلْن ما قدمْتُمْ لهُن إلا قليلًا مما تُحْصنُون ثُم يأْتى من بعْد ذلك عام فيه يُغاثُ الناسُ وفيه يعْصرُون
4629	12	49	ثُم يأْتى من بعْد ذلك عام فيه يُغاثُ الناسُ وفيه يعْصرُون	قال تزْرعُون سبْع سنين دأبًا فما حصدتُمْ فذرُوهُ فى سُنبُله إلا قليلًا مما تأْكُلُون ثُم يأْتى من بعْد ذلك سبْع شداد يأْكُلْن ما قدمْتُمْ لهُن إلا قليلًا مما تُحْصنُون ثُم يأْتى من بعْد ذلك عام فيه يُغاثُ الناسُ وفيه يعْصرُون
4629	12	47	قال تزْرعُون سبْع سنين دأبًا فما حصدتُمْ فذرُوهُ فى سُنبُله إلا قليلًا مما تأْكُلُون	قال تزْرعُون سبْع سنين دأبًا فما حصدتُمْ فذرُوهُ فى سُنبُله إلا قليلًا مما تأْكُلُون ثُم يأْتى من بعْد ذلك سبْع شداد يأْكُلْن ما قدمْتُمْ لهُن إلا قليلًا مما تُحْصنُون ثُم يأْتى من بعْد ذلك عام فيه يُغاثُ الناسُ وفيه يعْصرُون
